date,close,open,high,low,volume,•Ï‰»—¦ %
2022/3/6,30.75,35.88,37.52,28.84,,-3.85%
2022/2/27,31.98,32.44,35.19,28.43,,15.91%
2022/2/20,27.59,31.8,37.79,26.93,,-0.58%
2022/2/13,27.75,29.17,32.04,23.88,,1.43%
2022/2/6,27.36,24.09,30.99,19.93,,17.83%
2022/1/30,23.22,28.36,29.41,20.46,,-16.05%
2022/1/23,27.66,28.2,38.94,26.9,,-4.12%
2022/1/16,28.85,21.18,29.79,21.18,,50.34%
2022/1/9,19.19,19.58,23.33,17.36,,2.29%
2022/1/2,18.76,17.6,21.06,16.34,,8.94%
2021/12/26,17.22,19.37,19.41,16.62,,-4.12%
2021/12/19,17.96,25.89,27.39,17.62,,-16.74%
2021/12/12,21.57,19.29,23.47,18.19,,15.41%
2021/12/5,18.69,28.99,30.82,18.69,,-39.06%
2021/11/28,30.67,25.31,35.32,21.71,,7.16%
2021/11/21,28.62,18.2,28.99,17.35,,59.80%
2021/11/14,17.91,17.03,19.01,16.03,,9.94%
2021/11/7,16.29,17.23,19.9,16.15,,-1.15%
2021/10/31,16.48,16.85,17.7,14.73,,1.35%
2021/10/24,16.26,16.14,18.06,14.9,,5.38%
2021/10/17,15.43,17.29,17.93,14.84,,-5.34%
2021/10/10,16.3,19.93,20.81,15.72,,-13.16%
2021/10/3,18.77,22.9,24.58,18.2,,-11.25%
2021/9/26,21.15,17.78,24.89,17.74,,19.15%
2021/9/19,17.75,24.25,28.79,17.63,,-14.70%
2021/9/12,20.81,19.64,21.51,17.65,,-0.67%
2021/9/5,20.95,16.94,21.13,16.89,,27.67%
2021/8/29,16.41,16.77,17.07,15.68,,0.12%
2021/8/22,16.39,18.83,19.27,16.11,,-11.69%
2021/8/15,18.56,17.05,24.74,16.02,,20.13%
2021/8/8,15.45,17.12,17.39,15.19,,-4.33%
2021/8/1,16.15,18.16,20.44,16.14,,-11.46%
2021/7/25,18.24,18.67,20.44,17.19,,6.05%
2021/7/18,17.2,19.61,25.09,16.33,,-6.78%
2021/7/11,18.45,16.85,18.7,15.94,,14.03%
2021/7/4,16.18,15.77,21.29,15.73,,7.37%
2021/6/27,15.07,16.07,17.31,14.1,,-3.52%
2021/6/20,15.62,21.74,21.82,14.19,,-24.54%
2021/6/13,20.7,16.04,21.04,15.04,,32.27%
2021/6/6,15.65,17.34,18.29,15.15,,-4.69%
2021/5/30,16.42,17.24,19.27,15.68,,-2.03%
2021/5/23,16.76,20.5,20.51,15.9,,-16.82%
2021/5/16,20.15,19.89,25.96,18.81,,7.12%
