date,close,open,high,low,volume,•Ï‰»—¦ %
2023/9/29,"32,015.00","31,740.00","31,740.00","31,715.00",0.00K,0.05%
2023/9/28,"32,000.00","32,108.00","32,158.00","31,662.50",42.48K,-0.47%
2023/9/27,"32,150.00","31,850.00","32,258.00","31,740.00",37.25K,0.96%
2023/9/26,"31,845.00","32,455.00","32,455.00","31,835.00",28.62K,-1.86%
2023/9/25,"32,450.00","32,300.00","32,533.00","32,170.00",27.18K,0.64%
2023/9/22,"32,245.00","32,415.00","32,435.00","31,940.00",45.26K,0.85%
2023/9/21,"31,973.00","32,658.00","32,735.00","31,963.00",35.55K,-2.10%
2023/9/20,"32,660.00","33,055.00","33,068.00","32,658.00",29.76K,-1.19%
2023/9/19,"33,055.00","33,040.00","33,178.00","32,917.50",29.28K,0.05%
2023/9/18,"33,040.00","33,123.00","33,138.00","32,937.50",,-0.72%
2023/9/15,"33,280.00","32,960.00","33,450.00","32,920.00",58.94K,1.05%
2023/9/14,"32,935.00","32,520.00","33,040.00","32,440.00",51.89K,1.48%
2023/9/13,"32,455.00","32,560.00","32,680.00","32,400.00",40.05K,-0.51%
2023/9/12,"32,620.00","32,300.00","32,620.00","32,220.00",45.42K,1.24%
2023/9/11,"32,220.00","32,420.00","32,560.00","32,170.00",48.67K,-0.63%
2023/9/8,"32,425.00","32,740.00","32,840.00","32,290.00",57.00K,-1.04%
2023/9/7,"32,765.00","32,980.00","33,115.00","32,755.00",41.77K,-0.74%
2023/9/6,"33,010.00","32,725.00","33,060.00","32,600.00",42.49K,0.76%
2023/9/5,"32,760.00","32,750.00","32,860.00","32,560.00",40.91K,0.13%
2023/9/4,"32,717.50","32,575.00","32,862.50","32,492.50",35.92K,0.19%
2023/9/1,"32,655.00","32,615.00","32,845.00","32,395.00",37.38K,0.57%
2023/8/31,"32,470.00","32,357.50","32,697.50","32,357.50",34.26K,0.36%
2023/8/30,"32,355.00","32,412.50","32,562.50","32,192.50",33.29K,0.42%
2023/8/29,"32,220.00","32,175.00","32,485.00","32,100.00",24.96K,-0.17%
2023/8/28,"32,275.00","31,905.00","32,325.00","31,862.50",39.24K,2.18%
2023/8/25,"31,585.00","32,215.00","32,270.00","31,545.00",40.91K,-0.50%
2023/8/24,"31,742.50","32,172.50","32,287.50","31,667.50",32.55K,-0.70%
2023/8/23,"31,965.00","31,905.00","32,025.00","31,690.00",26.66K,0.82%
2023/8/22,"31,705.00","31,797.50","32,017.50","31,672.50",28.71K,-0.28%
2023/8/21,"31,792.50","31,550.00","31,840.00","31,395.00",31.75K,1.09%
2023/8/18,"31,450.00","31,655.00","31,780.00","31,230.00",35.64K,0.43%
2023/8/17,"31,315.00","31,595.00","31,775.00","31,285.00",40.35K,-0.95%
2023/8/16,"31,615.00","31,910.00","31,980.00","31,582.50",35.85K,-0.91%
