date,close,open,high,low,volume,•Ï‰»—¦ %
2021/8/29,"29,115.00","27,655.00","29,190.00","27,595.00",262.91K,5.34%
2021/8/22,"27,640.00","26,970.00","27,880.00","26,845.00",193.16K,2.29%
2021/8/15,"27,020.00","27,985.00","28,070.00","26,920.00",245.75K,-3.45%
2021/8/8,"27,985.00","28,000.00","28,110.00","27,910.00",29.82K,0.48%
2021/8/1,"27,850.00","27,370.00","27,900.00","27,310.00",0.10K,1.77%
2021/7/25,"27,365.00","27,845.00","27,845.00","27,845.00",0.01K,-2.67%
2021/7/18,"28,115.00","27,960.00","28,100.00","27,060.00",187.51K,0.59%
2021/7/11,"27,950.00","28,525.00","28,530.00","27,915.00",0.01K,-0.96%
2021/7/4,"28,220.00","28,370.00","28,370.00","28,345.00",0.06K,-1.95%
2021/6/27,"28,780.00","29,015.00","29,015.00","28,790.00",0.00K,-0.93%
2021/6/20,"29,050.00","28,895.00","29,065.00","27,835.00",0.01K,0.38%
2021/6/13,"28,940.00","28,950.00","29,480.00","28,945.00",0.16K,0.16%
2021/6/6,"28,895.00","28,965.00","29,280.00","28,765.00",174.33K,-0.19%
2021/5/30,"28,950.00","29,120.00","29,160.00","28,560.00",198.85K,-0.53%
2021/5/23,"29,105.00","28,335.00","29,200.00","28,205.00",191.79K,2.74%
2021/5/16,"28,330.00","28,070.00","28,490.00","27,595.00",276.87K,1.12%
2021/5/9,"28,015.00","29,360.00","29,360.00","27,130.00",86.19K,-4.68%
2021/5/2,"29,390.00","28,945.00","28,945.00","28,910.00",0.00K,1.75%
2021/4/25,"28,885.00","28,090.00","28,140.00","28,090.00",0.00K,-0.31%
2021/4/18,"28,975.00","29,625.00","29,625.00","28,940.00",0.08K,-2.54%
2021/4/11,"29,730.00","29,910.00","29,910.00","29,610.00",0.01K,-0.15%
2021/4/4,"29,775.00","30,085.00","30,085.00","29,685.00",0.23K,-0.52%
2021/3/28,"29,930.00","29,400.00","29,875.00","29,400.00",0.07K,2.82%
2021/3/21,"29,110.00","28,955.00","29,010.00","28,155.00",0.06K,-1.32%
2021/3/14,"29,500.00","29,655.00","30,070.00","29,550.00",0.17K,-0.30%
2021/3/7,"29,590.00","28,770.00","29,555.00","28,565.00",268.65K,2.83%
2021/2/28,"28,775.00","29,245.00","30,010.00","28,300.00",343.72K,-1.66%
2021/2/21,"29,260.00","30,060.00","30,455.00","28,980.00",280.22K,-2.66%
2021/2/14,"30,060.00","29,400.00","30,715.00","29,305.00",271.04K,2.24%
2021/2/7,"29,400.00","29,040.00","29,670.00","29,040.00",47.99K,2.08%
2021/1/31,"28,800.00","28,445.00","28,735.00","28,445.00",0.17K,4.42%
2021/1/24,"27,580.00","28,125.00","28,125.00","28,125.00",0.01K,-3.77%
2021/1/17,"28,660.00","28,550.00","28,815.00","28,215.00",0.04K,0.61%
2021/1/10,"28,485.00","28,025.00","28,625.00","28,025.00",0.02K,1.15%
2021/1/3,"28,160.00","27,100.00","27,455.00","27,100.00",0.02K,2.36%
2020/12/27,"27,510.00","26,640.00","27,690.00","26,610.00",140.83K,3.15%
2020/12/20,"26,670.00","26,615.00","26,615.00","26,615.00",0.03K,-0.34%
2020/12/13,"26,760.00","26,570.00","26,810.00","26,380.00",165.57K,0.79%
2020/12/6,"26,550.00","26,750.00","26,950.00","26,315.00",250.51K,-0.69%
2020/11/29,"26,735.00","26,630.00","26,975.00","26,300.00",324.39K,0.43%
2020/11/22,"26,620.00","25,530.00","26,715.00","25,490.00",284.61K,4.33%
2020/11/15,"25,515.00","25,370.00","26,215.00","25,325.00",325.36K,0.63%
2020/11/8,"25,355.00","25,555.00","25,555.00","25,210.00",77.68K,4.13%
2020/11/1,"24,350.00","23,275.00","23,275.00","22,280.00",0.10K,6.33%
2020/10/25,"22,900.00","23,355.00","23,355.00","23,355.00",0.00K,-2.55%
2020/10/18,"23,500.00","23,245.00","23,245.00","23,240.00",0.04K,0.36%
2020/10/11,"23,415.00","23,600.00","23,650.00","23,360.00",229.15K,-0.70%
2020/10/4,"23,580.00","23,340.00","23,655.00","23,340.00",0.16K,2.52%
2020/9/27,"23,000.00","23,400.00","23,400.00","23,155.00",0.01K,-0.17%
2020/9/20,"23,040.00","23,110.00","23,195.00","23,110.00",0.03K,-0.80%
2020/9/13,"23,225.00","23,205.00","23,205.00","22,910.00",0.03K,0.06%
2020/9/6,"23,210.00","23,170.00","23,315.00","22,830.00",309.94K,0.24%
2020/8/30,"23,155.00","22,875.00","23,635.00","22,750.00",385.26K,1.07%
2020/8/23,"22,910.00","22,870.00","23,425.00","22,540.00",320.68K,0.13%
2020/8/16,"22,880.00","23,285.00","23,285.00","22,830.00",303.75K,-1.68%
2020/8/9,"23,270.00","22,840.00","23,345.00","22,815.00",66.79K,4.05%
2020/8/2,"22,365.00","21,875.00","23,040.00","21,875.00",0.12K,2.66%
2020/7/26,"21,785.00","22,440.00","22,470.00","21,815.00",0.11K,-3.07%
2020/7/19,"22,475.00","22,650.00","22,930.00","22,550.00",136.17K,-0.95%
2020/7/12,"22,690.00","22,310.00","23,160.00","22,310.00",0.05K,1.68%
2020/7/5,"22,315.00","23,895.00","23,895.00","22,300.00",1.07K,0.02%
2020/6/28,"22,310.00","22,060.00","22,275.00","22,060.00",0.00K,-0.67%
2020/6/21,"22,460.00","22,610.00","22,620.00","22,610.00",0.00K,-0.31%
2020/6/14,"22,530.00","22,250.00","22,640.00","21,555.00",0.11K,1.58%
2020/6/7,"22,180.00","22,895.00","23,310.00","21,580.00",340.18K,-3.08%
2020/5/31,"22,885.00","21,780.00","22,990.00","21,660.00",434.52K,5.03%
2020/5/24,"21,790.00","20,340.00","22,105.00","20,230.00",398.66K,7.05%
2020/5/17,"20,355.00","20,055.00","20,810.00","19,875.00",327.10K,1.45%
2020/5/10,"20,065.00","20,130.00","20,615.00","19,610.00",377.67K,-0.40%
2020/5/3,"20,145.00","19,675.00","20,190.00","19,660.00",69.30K,2.60%
2020/4/26,"19,635.00","19,920.00","20,160.00","19,920.00",0.00K,2.21%
2020/4/19,"19,210.00","19,710.00","19,770.00","18,830.00",0.09K,-2.59%
2020/4/12,"19,720.00","19,310.00","19,910.00","18,940.00",278.01K,1.99%
2020/4/5,"19,335.00","18,360.00","19,800.00","18,290.00",0.75K,9.05%
2020/3/29,"17,730.00","19,060.00","19,210.00","17,840.00",0.14K,-7.29%
2020/3/22,"19,125.00","17,735.00","19,235.00","15,700.00",0.21K,10.04%
2020/3/15,"17,380.00","17,185.00","18,170.00","15,310.00",0.41K,3.33%
2020/3/8,"16,820.00","20,700.00","20,795.00","16,635.00",821.10K,-18.88%
2020/3/1,"20,735.00","21,010.00","21,730.00","20,460.00",1.04M,-1.17%
2020/2/23,"20,980.00","23,310.00","23,340.00","20,910.00",998.15K,-9.92%
2020/2/16,"23,290.00","23,655.00","23,790.00","23,080.00",497.36K,-1.42%
2020/2/9,"23,625.00","23,635.00","23,820.00","23,555.00",95.76K,-0.98%
2020/2/2,"23,860.00","22,320.00","23,955.00","22,320.00",0.06K,3.07%
2020/1/26,"23,150.00","23,355.00","23,370.00","22,940.00",0.06K,-2.81%
2020/1/19,"23,820.00","23,870.00","24,020.00","23,660.00",0.01K,-0.98%
2020/1/12,"24,055.00","23,985.00","24,090.00","23,875.00",0.02K,1.01%
2020/1/5,"23,815.00","23,170.00","23,570.00","23,130.00",1.85K,2.04%
2019/12/29,"23,340.00","23,660.00","23,660.00","23,490.00",0.05K,-2.20%
2019/12/22,"23,865.00","23,775.00","23,865.00","23,705.00",0.12K,0.48%
2019/12/15,"23,750.00","24,030.00","24,030.00","23,835.00",0.54K,-0.98%
2019/12/8,"23,985.00","23,400.00","23,975.00","23,130.00",299.46K,2.43%
2019/12/1,"23,415.00","23,330.00","23,595.00","22,905.00",445.38K,0.47%
2019/11/24,"23,305.00","23,125.00","23,615.00","23,080.00",299.84K,0.80%
2019/11/17,"23,120.00","23,330.00","23,490.00","22,720.00",412.18K,-0.92%
2019/11/10,"23,335.00","23,380.00","23,580.00","23,005.00",381.15K,-0.19%
2019/11/3,"23,380.00","23,295.00","23,645.00","23,185.00",114.34K,2.27%
2019/10/27,"22,860.00","22,710.00","22,710.00","22,710.00",0.00K,0.37%
2019/10/20,"22,775.00","22,635.00","22,635.00","22,615.00",0.01K,1.36%
